plant_family,soil_type,season,activity_name,activity_frequency,healthy
Rosaceae,Loamy,Winter,Watering,4,Yes
Lamiaceae,Sandy,Summer,Fertilizing,1,No
Asteraceae,Clay,Spring,Watering,3,Yes
Solanaceae,Loamy,Autumn,Pruning,2,No
Poaceae,Sandy,Winter,Watering,4,Yes
Fabaceae,Loamy,Summer,Fertilizing,1,No
Lamiaceae,Sandy,Spring,Watering,4,Yes
Rosaceae,Clay,Autumn,Pruning,2,No
Solanaceae,Sandy,Winter,Watering,4,Yes
Poaceae,Loamy,Summer,Fertilizing,1,Yes
Asteraceae,Clay,Spring,Watering,3,No
Fabaceae,Sandy,Autumn,Pruning,2,Yes
Rosaceae,Loamy,Winter,Watering,4,Yes
Lamiaceae,Sandy,Summer,Fertilizing,1,No
Asteraceae,Clay,Spring,Watering,3,Yes
Solanaceae,Loamy,Autumn,Pruning,2,No
Poaceae,Sandy,Winter,Watering,4,Yes
Fabaceae,Loamy,Summer,Fertilizing,1,No
Lamiaceae,Sandy,Spring,Watering,4,Yes
Rosaceae,Clay,Autumn,Pruning,2,No
Solanaceae,Sandy,Winter,Watering,4,Yes
Poaceae,Loamy,Summer,Fertilizing,1,Yes
Asteraceae,Clay,Spring,Watering,3,No
Fabaceae,Sandy,Autumn,Pruning,2,Yes
Rosaceae,Loamy,Winter,Watering,4,Yes
Lamiaceae,Sandy,Summer,Fertilizing,1,No
Asteraceae,Clay,Spring,Watering,3,Yes
Solanaceae,Loamy,Autumn,Pruning,2,No
Poaceae,Sandy,Winter,Watering,4,Yes
Fabaceae,Loamy,Summer,Fertilizing,1,No
Lamiaceae,Sandy,Spring,Watering,4,Yes
Rosaceae,Clay,Autumn,Pruning,2,No
Solanaceae,Sandy,Winter,Watering,4,Yes
Poaceae,Loamy,Summer,Fertilizing,1,Yes
Asteraceae,Clay,Spring,Watering,3,No
Fabaceae,Sandy,Autumn,Pruning,2,Yes
Rosaceae,Loamy,Winter,Watering,4,Yes
Lamiaceae,Sandy,Summer,Fertilizing,1,No
Asteraceae,Clay,Spring,Watering,3,Yes
Solanaceae,Loamy,Autumn,Pruning,2,No
Poaceae,Sandy,Winter,Watering,4,Yes
Fabaceae,Loamy,Summer,Fertilizing,1,No
Lamiaceae,Sandy,Spring,Watering,4,Yes
Rosaceae,Clay,Autumn,Pruning,2,No
Solanaceae,Sandy,Winter,Watering,4,Yes
Poaceae,Loamy,Summer,Fertilizing,1,Yes
Asteraceae,Clay,Spring,Watering,3,No
Fabaceae,Sandy,Autumn,Pruning,2,Yes
